"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"16" "Aval" 1679.43 119.047 40.3696 118.397 15.3488 44.2817 1747.13 111.452 1001733.27688875 587871.525556685 540533.195281412 119.706568691 10416.886497896 8633.5822310709 "Lees Athas" "Lees Athas.Aval" 7.844 94.31
"27" "Aval" 457.833 46.7083 81.2219 0 17.2465 1.53155 677.205 37.6256 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Aval" 10.67 102.345
"28" "Aval" 494.065 262.965 10.7375 261.616 1.93108 87.3314 2467.18 48.2308 1037722.86664479 230796.302382834 815261.971162113 27.1178732334651 1496.84281080053 2891.81875672426 "Lees Athas" "Lees Athas.Aval" 8.602 96.727
"29" "Aval" 1007.97 169.75 38.5217 169.051 3.41269 58.0656 410.529 171.492 1046424.20739966 379095.598856516 698936.949493618 54.1346923131264 4848.50811332263 9185.03989503219 "Cauterets" "Cauterets.Aval" 1.844 60.564
"30" "Aval" 344.896 104.955 64.074 104.606 0.916056 35.01 293.256 30.301 1012257.25428425 505563.004525861 513114.756639483 37.3033014654976 2131.6777736914 1898.66029515593 "Lees Athas" "Lees Athas.Aval" 11.658 109.63
"31" "Aval" 2289.33 122.849 55.994 122.35 2.24775 41.7582 1381.68 234.114 1036890.11899894 390393.062481114 701222.729020717 89.3270281108365 6700.46122477911 12793.4128616396 "Cauterets" "Cauterets.Aval" 2.88 67.903
"32" "Aval" 2127.97 62.3071 75.8575 62.0073 2.6307 21.5118 1442.26 168.082 NA NA 596664.423538833 NA NA 11311.3290493029 "Cauterets" "Cauterets.Aval" 3.955 74.397
"33" "Aval" 948.456 92.2387 60.5329 91.5891 7.21066 32.2565 870.147 139.681 1054132.21826119 692984.167254456 388180.974523996 33.1808153580185 14599.1507375047 5720.89234692806 "Cauterets" "Cauterets.Aval" 3.215 72.233
"34" "Aval" 753.507 0.299829 99.9001 NA 0 0 748.606 130.105 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Aval" 10.782 103.105
"35" "Aval" 1782.03 151.451 37.7186 150.752 9.47544 52.806 1213.36 164.923 1025492.62061479 529550.777126399 535452.841000456 60.3214399047505 7255.03448439614 7508.99705019998 "Cauterets" "Cauterets.Aval" 2.675 67.709
"47" "Aval" 2630.52 45.8569 69.8685 45.2075 10.2547 19.8768 4242.09 134.604 NA NA 483648.119335538 NA NA 9124.01606362972 "Lees Athas" "Lees Athas.Aval" 9.887 98.734
"48" "Aval" 543.256 2.19798 98.868 0 1.13201 0 6560.23 63.1154 NA NA NA NA NA NA "Cauterets" "Cauterets.Aval" 5.722 86.029
"49" "Aval" 100.964 NA 0 NA 0 100 42.574 0.0777447 1036128.01115299 962548.410283928 162357.011072596 47.2202574527371 38.3785540807702 136.037015321364 "Cauterets" "Cauterets.Aval" 8.197 95.314
"50" "Aval" 819.111 111.85 32.3622 111.051 24.0553 43.5492 401.203 125.228 NA NA NA NA NA NA "Cauterets" "Cauterets.Aval" 2.417 65.489
"51" "Aval" 130.225 0 100 NA 0 0 124.299 10.7562 1053419.74433971 661628.167694431 414539.432595536 20.0147141400458 12266.9438286914 4609.66179303086 "Lees Athas" "Lees Athas.Aval" 8.754 94.894
"52" "Aval" 2893.58 59.0087 66.6667 58.2092 8.84116 24.4922 2526.41 107.934 1008050.68016495 516628.57587752 557301.709599897 165.545330261857 9554.27642008152 10779.0484032426 "Lees Athas" "Lees Athas.Aval" 14.689 116.429
"53" "Aval" 219.016 0 99.1342 296.785 0.782551 0.0832501 233.02 13.0859 1034435.81646825 619958.468991154 418438.584835749 18.7808827805493 191.851062194143 389.339461856645 "Lees Athas" "Lees Athas.Aval" 6.491 88.548
"54" "Aval" 2666.72 78.0944 64.5854 77.7946 6.06061 29.354 2418.99 134.534 1002465.50160499 451545.35738035 643221.20654456 175.065122562096 8418.00180161769 13186.9253605741 "Lees Athas" "Lees Athas.Aval" 13.986 114.807
