"poisson" "fs" "frame" "pts" "X" "Y" "angle"
2 "002_fs1" 7 32 131.799141611133 -14.2491975868731 150.893802419906
2 "002_fs1" 7 33 131.022339046398 -13.7540893515578 150.893802419906
2 "002_fs1" 7 34 130.247476201834 -13.255898287766 150.893802419906
2 "002_fs1" 7 35 129.474697948602 -12.754718531255 150.893802419906
2 "002_fs1" 7 36 128.705349229411 -12.2506442177817 150.893802419906
2 "002_fs1" 7 37 127.93961007382 -11.7437694831034 150.893802419906
2 "002_fs1" 7 38 127.177287487174 -11.234188462977 150.893802419906
2 "002_fs1" 7 39 126.418188474821 -10.7219952931598 150.893802419906
2 "002_fs1" 7 40 125.662120042105 -10.2072841094086 150.893802419906
2 "002_fs1" 8 1 161.89349112426 -32.0180943452481 152.544932508083
2 "002_fs1" 8 2 161.10145499525 -31.7103066895975 152.544932508083
2 "002_fs1" 8 3 160.311331104866 -31.3974972286893 152.544932508083
2 "002_fs1" 8 4 159.523124955455 -31.0797138875015 152.544932508083
2 "002_fs1" 8 5 158.736842049368 -30.7570045910121 152.544932508083
2 "002_fs1" 8 6 157.952487888953 -30.429417264199 152.544932508083
2 "002_fs1" 8 7 157.17006797656 -30.0969998320401 152.544932508083
2 "002_fs1" 8 8 156.389587814537 -29.7598002195134 152.544932508083
2 "002_fs1" 8 9 155.611052905235 -29.4178663515969 152.544932508083
2 "002_fs1" 8 10 154.834468751001 -29.0712461532685 152.544932508083
2 "002_fs1" 8 11 154.059840854186 -28.7199875495062 152.544932508083
2 "002_fs1" 8 12 153.287174717138 -28.3641384652879 152.544932508083
2 "002_fs1" 8 13 152.516475842206 -28.0037468255915 152.544932508083
2 "002_fs1" 8 14 151.74774973174 -27.638860555395 152.544932508083
2 "002_fs1" 8 15 150.981001888089 -27.2695275796764 152.544932508083
2 "002_fs1" 8 16 150.216237813602 -26.8957958234137 152.544932508083
2 "002_fs1" 8 17 149.453463010628 -26.5177132115847 152.544932508083
2 "002_fs1" 8 18 148.692682981516 -26.1353276691673 152.544932508083
2 "002_fs1" 8 19 147.933903228615 -25.7486871211397 152.544932508083
2 "002_fs1" 8 20 147.177129254275 -25.3578394924797 152.544932508083
2 "002_fs1" 8 21 146.422366560844 -24.9628327081653 152.544932508083
2 "002_fs1" 8 22 145.669620650672 -24.5637146931743 152.544932508083
2 "002_fs1" 8 23 144.918897026108 -24.1605333724849 152.544932508083
2 "002_fs1" 8 24 144.170201189501 -23.7533366710748 152.544932508083
2 "002_fs1" 8 25 143.4235386432 -23.3421725139222 152.544932508083
2 "002_fs1" 8 26 142.678914889554 -22.9270888260048 152.544932508083
2 "002_fs1" 8 27 141.936335430913 -22.5081335323008 152.544932508083
2 "002_fs1" 8 28 141.195805769626 -22.0853545577879 152.544932508083
2 "002_fs1" 8 29 140.457331408041 -21.6587998274443 152.544932508083
2 "002_fs1" 8 30 139.720917848508 -21.2285172662477 152.544932508083
2 "002_fs1" 8 31 138.986570593376 -20.7945547991763 152.544932508083
2 "002_fs1" 8 32 138.254295144994 -20.3569603512078 152.544932508083
2 "002_fs1" 8 33 137.524097005711 -19.9157818473204 152.544932508083
2 "002_fs1" 8 34 136.795981677877 -19.4710672124919 152.544932508083
2 "002_fs1" 8 35 136.06995466384 -19.0228643717003 152.544932508083
2 "002_fs1" 8 36 135.346021465951 -18.5712212499235 152.544932508083
2 "002_fs1" 8 37 134.624187586557 -18.1161857721395 152.544932508083
2 "002_fs1" 8 38 133.904458528007 -17.6578058633262 152.544932508083
2 "002_fs1" 8 39 133.186839792652 -17.1961294484616 152.544932508083
2 "002_fs1" 8 40 132.471336882841 -16.7312044525237 152.544932508083
2 "002_fs1" 9 1 171.631445477599 -37.2928196199735 151.78821475077
2 "002_fs1" 9 2 170.79541541688 -36.8792666729333 151.78821475077
2 "002_fs1" 9 3 169.960677206879 -36.4652193028227 151.78821475077
2 "002_fs1" 9 4 169.127243384644 -36.050631372021 151.78821475077
2 "002_fs1" 9 5 168.295126487223 -35.6354567429075 151.78821475077
2 "002_fs1" 9 6 167.464339051662 -35.2196492778617 151.78821475077
2 "002_fs1" 9 7 166.634893615009 -34.8031628392628 151.78821475077
2 "002_fs1" 9 8 165.806802714311 -34.3859512894902 151.78821475077
2 "002_fs1" 9 9 164.980078886615 -33.9679684909233 151.78821475077
2 "002_fs1" 9 10 164.154734668968 -33.5491683059414 151.78821475077
2 "002_fs1" 9 11 163.330782598417 -33.1295045969239 151.78821475077
2 "002_fs1" 9 12 162.508235212009 -32.7089312262501 151.78821475077
2 "002_fs1" 9 13 161.687105046792 -32.2874020562994 151.78821475077
2 "002_fs1" 9 14 160.867404639813 -31.8648709494511 151.78821475077
2 "002_fs1" 9 15 160.049146528118 -31.4412917680846 151.78821475077
2 "002_fs1" 9 16 159.232343248756 -31.0166183745792 151.78821475077
2 "002_fs1" 9 17 158.417007338773 -30.5908046313142 151.78821475077
2 "002_fs1" 9 18 157.603151335216 -30.1638044006691 151.78821475077
2 "002_fs1" 9 19 156.790787775132 -29.7355715450232 151.78821475077
2 "002_fs1" 9 20 155.979929195569 -29.3060599267558 151.78821475077
2 "002_fs1" 9 21 155.170588133574 -28.8752234082463 151.78821475077
2 "002_fs1" 9 22 154.362777126194 -28.443015851874 151.78821475077
2 "002_fs1" 9 23 153.556508710475 -28.0093911200182 151.78821475077
2 "002_fs1" 9 24 152.751795423466 -27.5743030750585 151.78821475077
2 "002_fs1" 9 25 151.948649802214 -27.1377055793739 151.78821475077
2 "002_fs1" 9 26 151.147084383765 -26.6995524953441 151.78821475077
2 "002_fs1" 9 27 150.347111705166 -26.2597976853482 151.78821475077
2 "002_fs1" 9 28 149.548744303466 -25.8183950117656 151.78821475077
2 "002_fs1" 9 29 148.75199471571 -25.3752983369758 151.78821475077
2 "002_fs1" 9 30 147.956875478947 -24.9304615233579 151.78821475077
2 "002_fs1" 9 31 147.163399130222 -24.4838384332915 151.78821475077
2 "002_fs1" 9 32 146.371578206584 -24.0353829291558 151.78821475077
2 "002_fs1" 9 33 145.58142524508 -23.5850488733302 151.78821475077
2 "002_fs1" 9 34 144.792952782757 -23.132790128194 151.78821475077
2 "002_fs1" 9 35 144.006173356661 -22.6785605561266 151.78821475077
2 "002_fs1" 9 36 143.22109950384 -22.2223140195073 151.78821475077
2 "002_fs1" 9 37 142.437743761342 -21.7640043807156 151.78821475077
2 "002_fs1" 9 38 141.656118666213 -21.3035855021307 151.78821475077
2 "002_fs1" 9 39 140.8762367555 -20.841011246132 151.78821475077
2 "002_fs1" 9 40 140.097725711769 -20.3762354750988 151.78821475077
2 "002_fs1" 10 1 180.760777683855 -42.2294214796523 153.896934072613
2 "002_fs1" 10 2 179.858873510656 -41.8074684339828 153.896934072613
2 "002_fs1" 10 3 178.958742220347 -41.3862707679187 153.896934072613
2 "002_fs1" 10 4 178.060380713919 -40.9657510324616 153.896934072613
2 "002_fs1" 10 5 177.163785892364 -40.5458317786132 153.896934072613
2 "002_fs1" 10 6 176.268954656675 -40.1264355573753 153.896934072613
2 "002_fs1" 10 7 175.375883907842 -39.7074849197496 153.896934072613
2 "002_fs1" 10 8 174.48457054686 -39.2889024167379 153.896934072613
2 "002_fs1" 10 9 173.595011474719 -38.8706105993417 153.896934072613
2 "002_fs1" 10 10 172.707203592411 -38.4525320185629 153.896934072613
2 "002_fs1" 10 11 171.821143800929 -38.0345892254032 153.896934072613
2 "002_fs1" 10 12 170.936829001265 -37.6167047708643 153.896934072613
2 "002_fs1" 10 13 170.054256094411 -37.198801205948 153.896934072613
2 "002_fs1" 10 14 169.173421981359 -36.7808010816559 153.896934072613
2 "002_fs1" 10 15 168.294323563101 -36.3626269489898 153.896934072613
