"traitement" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency"
"amont" 37 "037_fs1" 0.1826 7.31245350809195 4.83142235554221 0.660711531388987
"amont" 37 "037_fs2" 0.0996 9.02090347207837 7.61585985892674 0.844245798937929
"amont" 37 "037_fs3" 0.1411 7.61994739951692 6.01854588906511 0.789840870744942
"amont" 38 "038_fs1" 0.1411 9.19885389595543 7.01493068145748 0.762587465873529
"amont" 38 "038_fs2" 0.1411 14.8666954270696 10.3938570421356 0.699137013543054
"amont" 38 "038_fs3" 0.1079 9.88781858862526 7.29488749248296 0.737765102292112
"amont" 39 "039_fs1" 0.166 7.34876828467305 4.79580424009607 0.652599735672498
"amont" 39 "039_fs2" 0.1411 11.4888530502519 7.36327838257969 0.640906307215605
"amont" 39 "039_fs3" 0.1328 9.32689372072327 7.06964513563629 0.757984956977516
"amont" 40 "040_fs1" 0.1577 7.45367579009909 5.01347264096001 0.672617481916713
"amont" 40 "040_fs2" 0.1494 8.88494860957358 7.3224016671246 0.824135511513783
"amont" 40 "040_fs3" 0.1411 9.74047672472137 6.82010708849376 0.700182063079551
"amont" 40 "040_fs4" 0.1328 7.70645595440281 5.40562885723879 0.701441608078026
"amont" 41 "041_fs1" 0.1245 8.15514553797299 6.31863912550266 0.774803968375676
"amont" 41 "041_fs2" 0.0996 9.20064784461168 7.55926751165459 0.82160165667917
"amont" 42 "042_fs1" 0.1162 13.4110758089685 10.8518140989379 0.809168052847848
"amont" 42 "042_fs2" 0.1162 10.3368862588932 7.24260460315492 0.700656311945371
"amont" 42 "042_fs3" 0.1162 9.86972318253457 7.35569746921454 0.745279004605839
"amont" 42 "042_fs4" 0.1328 12.4400944940329 9.65032972528944 0.775744085377997
"amont" 45 "045_fs1" 0.1328 4.34121439001222 3.12013142705443 0.718723183594176
"amont" 45 "045_fs2" 0.1494 10.7359715031116 6.88906826512484 0.64168093806212
"amont" 45 "045_fs3" 0.1328 8.67457922294453 6.37406122000683 0.734797741329889
"amont" 46 "046_fs1" 0.1577 12.5784740161916 9.92091989097405 0.788722056284676
"amont" 46 "046_fs2" 0.1245 11.3364612357022 9.79225327461737 0.863783950831005
"amont" 46 "046_fs3" 0.1411 9.82237342363187 8.68873265731038 0.884585861539937
"aval" 167 "167_fs1" 0.1411 9.24365999816814 6.87378327521048 0.743621387694127
"aval" 167 "167_fs2" 0.1162 11.6161214084733 9.71436288694284 0.836282830158507
"aval" 167 "167_fs3" 0.1162 9.78460869196156 7.8443706681548 0.801705097782731
"aval" 168 "168_fs1" 0.1328 12.6975849804909 8.79643398079636 0.692764332297168
"aval" 168 "168_fs2" 0.1245 12.2693607655902 7.86670850094286 0.64116694025375
"aval" 168 "168_fs3" 0.0913 8.37912399124507 5.28566884599149 0.630814014867691
"aval" 170 "170_fs1" 0.1079 5.78230661782368 5.23793053342214 0.905854856827632
"aval" 170 "170_fs2" 0.083 3.98889411310135 2.4510505407633 0.614468690134676
"aval" 170 "170_fs3" 0.1245 5.713180152774 3.11743388468842 0.545656499764806
"aval" 171 "171_fs1" 0.1162 12.9727178499437 9.30083007454484 0.716953084321125
"aval" 171 "171_fs2" 0.1494 9.4421127754549 4.31448769499109 0.456940919643192
"aval" 171 "171_fs3" 0.1079 10.6849548231995 7.88091504255174 0.737571208578295
"aval" 172 "172_fs1" 0.0913 6.38644901882252 4.94708531820619 0.774622220208107
"aval" 172 "172_fs2" 0.0996 9.67005355989331 6.42872680694319 0.6648077766194
"aval" 172 "172_fs3" 0.1245 12.017307442276 10.1110589643799 0.841374743298151
"aval" 173 "173_fs1" 0.1162 11.3113468265257 8.97242455018249 0.793223361266023
"aval" 173 "173_fs2" 0.0996 12.5089009348734 10.6929477642719 0.854827120299683
"aval" 173 "173_fs3" 0.1162 14.0736500908909 10.116405064922 0.718818856486262
"aval" 174 "174_fs1" 0.083 6.62613911853184 6.05020565556491 0.913081592060725
"aval" 174 "174_fs2" 0.1245 9.82269432121341 7.75147646466561 0.789139538621829
"aval" 174 "174_fs3" 0.1245 10.5464796063293 7.78849108481112 0.738492025351947
"aval" 175 "175_fs1" 0.1245 12.4554208906038 8.63725139740681 0.693453193855745
"aval" 175 "175_fs2" 0.0996 8.02340509216335 5.98929918529716 0.74647847347843
